Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
"Country Life MHRVP Asset Partners, L.P.","23117 Plaza Pointe Drive 100, Laguna Hills, CA 92653-1473",Country Life MHPRV Asset Partners LP WWTP,"375 East Ross Road, El Centro, CA 92243",32.781111,-115.503139,Wastewater Treatment Facility,6515,Imperial,7,NPDMUNIOTH,Active,NPDES Permit,R7-2023-0041,7A131001011,CA0104264,10/10/2023,11/01/2023,,2028-10-30,.15,Minor,B,3,,,,0,3,
Imperial Cnty Dept Community & Economic Dev,"836 Main Street, El Centro, CA 92243",Poe Colonia (Cady Subdivision),"Poe Colonia Road, Brawley, CA 92227",,,Wastewater Treatment Facility,6552(+),Imperial,7,WDRMUNIOTH,Active,WDR,R7-2023-0015,7A131006001,,06/27/2023,06/27/2023,,2038-06-27,0.030,,B,3,,,,0,0,
Date Gardens Asset Partners LP,"16209 Quemada Road, Encino, CA 91436",Date Gardens MHP WWTP,"1020 West Evan Hewes Highway, El Centro, CA 92243",32.79716,-115.62129,Wastewater Treatment Facility,6515(+),Imperial,7,NPDMUNIOTH,Active,NPDES Permit,R7-2023-0046,7A131057011,CA0104841,12/12/2023,12/26/2023,,2028-11-30,0.02,Minor,B,3,,,,0,5,
Ca Dept of Corrections Imperial,"Po Box 731, Imperial, CA 92251",CA Dept of Corrections Centinela WWTP,"2302 Brown Road, Imperial, CA 92251",32.792028,-115.774306,Wastewater Treatment Facility,9223,Imperial,7,"NPDINDLRG, NPDMUNIOTH",Active,NPDES Permit,R7-2024-0019,7A131337001,CA7000001,05/14/2024,06/03/2024,,2029-06-02,.73,Minor,B,2,,,,2,24,
"Veolia Water Contract Operations USA, Inc","2242 East Charles Street, Banning, CA 92220",Banning STP-Non NPDES,"2242 East Charles Street, Banning, CA 92220",,,Wastewater Treatment Facility,4952,Riverside,7,WDRMUNILRG,Active,WDR,R7-2016-0015,7A330100015,,06/30/2016,06/30/2016,,2026-06-30,3.6,,A,2,,,,0,0,
Coachella SD,"53462 Enterprise Way, Coachella, CA 92236",Coachella SD WWTP,"87075 Avenue 54, Coachella, CA 92236",33.656556,-116.140056,Wastewater Treatment Facility,4952,Riverside,7,"NPDMUNILRG, SLIC",Active,NPDES Permit,R7-2026-0006,7A330104012,CA0104493,04/14/2026,05/01/2026,,2031-04-30,2.4,Major,A,1,,,,0,1,
Coachella Valley WD,"Po Box 1058, Coachella, CA 92236",Bombay Beach STP,"2201 Honey Wagon Rd, Calipatria, CA 92233",33.36343,-115.7264,Wastewater Treatment Facility,4952,Imperial,7,WDRMUNILRG,Active,WDR,R7-2013-0024,7A330105021,,03/21/2013,03/21/2013,,2028-03-21,.15,,B,3,,,,0,0,
Coachella Valley WD,"Po Box 1058, Coachella, CA 92236",Coachella Valley WD WWTP,"63-002 Filmore Street, Thermal, CA 92274",33.353111,-116.121389,Wastewater Treatment Facility,4952,Riverside,7,"NPDMUNILRG, SLIC",Active,NPDES Permit,R7-2023-0013,7A330105091,CA0104973,04/11/2023,05/01/2023,,2028-04-30,9.9,Major,A,1,,,,1,13,
Mission Springs Water District,"66575 Second Street, Desert Hot Springs, CA 92240",Alan Horton WWTP,"14601 Verbena, Desert Hot Springs, CA 92240",33.94311,-116.49331,Wastewater Treatment Facility,4952,Riverside,7,"SLIC, WDRMUNILRG",Active,WDR,R7-2022-0008,7A330109012,,04/12/2022,04/12/2022,,2032-04-12,1,,B,2,,,,2,0,
Mission Springs Water District,"66575 Second Street, Desert Hot Springs, CA 92240",Desert Crest WWTP,"17400 Sunrise Road, Desert Hot Springs, CA 92241",33.92206,-116.4484,Wastewater Treatment Facility,4952,Riverside,7,WDRMUNILRG,Active,WDR,R7-2014-0048,7A330109021,,06/26/2014,06/26/2014,,2024-06-26,.18,,B,2,,,,0,0,
Palm Springs City,"3200 East Tahquitz Canyon Way, Palm Springs, CA 92262",Palm Springs WWTF,"4375 Mesquite Avenue, Palm Springs, CA 92264",33.808618,-116.498749,Wastewater Treatment Facility,4952,Riverside,7,"SLIC, WDRMUNILRG",Active,WDR,R7-2024-0009,7A330114012,,02/13/2024,02/13/2024,,2029-02-13,16.5,,B,2,,,,0,0,
Valley Sanitary District,"45500 Van Buren Street, Indio, CA 92201",Valley SD WWTP,"45500 Van Buren Street, Indio, CA 92201",33.715444,-116.198833,Wastewater Treatment Facility,4952,Riverside,7,"NPDMUNILRG, SLIC",Active,NPDES Permit,R7-2026-0003,7A330122021,CA0104477,02/10/2026,04/01/2026,,2031-03-31,,Major,A,1,,,,2,16,
Desert Water Agency,"Po Box 1710, Palm Springs, CA 92263-1710",Desert Water Agency Recycled Water Facility,"1500 Gene Autry Trail, Palm Springs, CA 92264",33.80406,-116.48824,Wastewater Treatment Facility,4941(+),Riverside,7,WDRMUNILRG,Active,WDR,R7-2014-0008,7A330132001,,01/16/2014,01/16/2014,,2024-01-16,10,,A,2,,,,0,0,
Big Bear Area Regional WW Agency,"Po Box 517, Big Bear City, CA 92314",BB Reg WWA-Lucerne Vly,"122 Palomino Drive, Big Bear City, CA 92314",,,Wastewater Treatment Facility,4952,San Bernardino,7,"SLIC, WDRMUNILRG",Active,WDR,R7-2021-0023,7A360100011,,05/11/2021,05/11/2021,,2026-05-11,3.2,,A,1,,,,0,0,
Hi Desert Water Dist,"55439 29 Palms Hwy, Yucca Valley, CA 92284",Hi-Desert WD Reclamation Facility,"59000 Sunnyslope Drive, Yucca Valley, CA 92284",34.12803,-116.37449,Wastewater Treatment Facility,,San Bernardino,7,"WDRMUNIENROTH, WDRMUNILRG",Active,WDR,R7-2022-0014,7A360122001,,06/14/2022,06/14/2022,,2032-06-14,,,B,2,,,,0,0,
US Marine Corps Twentynine Palms NREA AGCC,"Bldg 1451 Box 788110, Twentynine Palms, CA 92278-8100",USMC - Mainside WWTF,"Mcagcc Box 788110, Twentynine Palms, CA 92278",,,Wastewater Treatment Facility,4952(+),San Bernardino,7,WDRMUNILRG,Active,WDR,R7-2016-0032,7A360702011,,09/15/2016,09/15/2016,,2026-09-15,1.25,,A,2,,,,4,14,
Blythe City,"440 South Main Street, Blythe, CA 92225",Blythe Regional WW Reclamation Facilities,"15901 South Broadway, Blythe, CA 92225",33.587905,-114.59634,Wastewater Treatment Facility,4952,Riverside,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,7B330102012,,,07/09/2020,,,,,,,,,,0,0,
Needles City,"817 3rd Street, Needles, CA 92363",Needles WWTP,"516 Broadway, Needles, CA 92363",34.837269,-114.601922,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,7B360110014,,,07/09/2020,,,,,,,,,,0,0,
San Bernardino Cnty Regional Parks,"777 East Rialto Avenue, San Bernardino, CA 92415-0763",Park Moabi WWTF,"Park Moabi Road, Needles, CA 92363",,,Wastewater Treatment Facility,7033(+),San Bernardino,7,WDRMUNILRG,Active,WDR,R7-2016-0017,7B360115051,,06/30/2016,06/30/2016,,2026-06-30,1,,B,2,,,,0,0,
Orange CSD,"10844 Ellis Avenue, Fountain Valley, CA 92728-8127",OCSD Plant 1,"10844 Ellis Avenue, Fountain Valley, CA 92708",33.69189,-117.93927,Wastewater Treatment Facility,4952,Orange,8,"NPDMUNILRG, SLIC",Active,NPDES Permit,R8-2021-0010,8 300110002,CA0110604,06/18/2021,08/01/2021,,2026-07-31,332,Major,A,1,,,,0,1,
Orange CSD,"10844 Ellis Avenue, Fountain Valley, CA 92728-8127",OCSD Plant 2,"22212 Brookhurst Street, Huntington Beach, CA 92646",33.63745,-117.96124,Wastewater Treatment Facility,4952,Orange,8,"NPDMUNILRG, SLIC",Active,NPDES Permit,R8-2021-0010,8 300110002,CA0110604,06/18/2021,08/01/2021,,2026-07-31,332,Major,A,1,,,,0,1,
Orange County Water District,"1810 Ward Street, Fountain Valley, CA 92708",Groundwater Replenishment System - Advanced WTF,"18700 Ward Street, Fountain Valley, CA 92708",33.69319,-117.94512,Wastewater Treatment Facility,9511,Orange,8,"CERFILLEXC, NPDMUNIOTH, REC, WDRMUNILRG",Active,WDR,R8-2022-0050,8 300112001,,12/02/2022,12/02/2022,,2032-12-02,130,Minor,A,2,,,,0,0,
Irvine Ranch Water District,"Po Box 57000, Irvine, CA 92619-7000",Los Alisos WD WWTP,"22312 Muirlands Boulevard, Lake Forest, CA 92630",,,Wastewater Treatment Facility,4952,Orange,8,NPDMUNILRG,Active,NPDES Permit,R8-2015-0024,8 302006002,CA8000326,06/19/2015,07/01/2015,,2020-06-30,33.5,Major,A,1,,,,0,6,
Irvine Ranch Water District,"Po Box 57000, Irvine, CA 92619-7000",Michelson WWRF,"3512 Michelson Drive, Irvine, CA 92612",33.662111,-117.795806,Wastewater Treatment Facility,4952,Orange,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 302006002,,,07/09/2020,,,,Major,,,,,,0,27,
El Toro Water District,"Po Box 4000, Laguna Hills, CA 92654-4000",El Toro Water Dist WWRF,"23542 Moulton Parkway, Laguna Hills, CA 92653",33.61932,-117.72637,Wastewater Treatment Facility,4952,Orange,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 303652001,,,07/09/2020,,,,,,,,,,0,0,
Beaumont City,"550 East 6th Street, Beaumont, CA 92223",Beaumont WWTP No. 1,"715 West 4th Street, Beaumont, CA 92223",33.92488,-116.99108,Wastewater Treatment Facility,4952,Riverside,8,"NPDMUNILRG, SLIC",Active,NPDES Permit,R8-2022-0042,8 330101001,CA0105376,10/21/2022,11/01/2022,,2027-10-31,6.00,Major,A,1,,,,1,17,
Idyllwild Water District,"Po Box 397, Idyllwild, CA 92549-0397",Idyllwild WD WWTP,"52335 Apela Drive, Idyllwild, CA 92549",33.732677,-116.748417,Wastewater Treatment Facility,4952,Riverside,8,WDRMUNILRG,Active,WDR,R8-2015-0028,8 330105001,,06/19/2015,07/01/2015,,2025-06-19,.2,,B,2,,,,0,0,
Corona City DWP,"755 Public Safety Way, Corona, CA 92878",Corona WWRF #1,"2205 Railroad Street, Corona, CA 92880",33.89160648661,-117.609708185597,Wastewater Treatment Facility,4952,Riverside,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 330108001,,,07/09/2020,,,,Major,,,,,,2,66,
Elsinore Valley Municipal Water District,"Po Box 3000, Lake Elsinore, CA 92531-3000",EVMWD Regional WWRF,"14980 Strickland Road, Lake Elsinore, CA 92530",33.68411,-117.34403,Wastewater Treatment Facility,4952,Riverside,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 330112001,,,07/09/2020,,,,Major,,,,,,0,2,
Elsinore Valley Municipal Water District,"Po Box 3000, Lake Elsinore, CA 92531-3000",EVMWD Horsethief Canyon WWTP,"13200 Shotgun Trail, Corona, CA 92883",33.73311,-117.42754,Wastewater Treatment Facility,4952,Riverside,8,WDRMUNILRG,Active,WDR,96-063,8 330112003,,11/22/1996,11/22/1996,,2024-11-20,.5,,B,2,,,,0,0,
Riverside City,"3900 Main Street, Riverside, CA 92522",Riverside City WWRF,"5950 Acorn Street, Riverside, CA 92504",33.9615,-117.4575,Wastewater Treatment Facility,4952,Riverside,SB,"NPDESWW, NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 330117003,,,07/09/2020,,,,Major,,,,,,1,1,
Lake Hemet Municipal Water District,"Po Box 5039, Hemet, CA 92544-0039",Lake Hemet MWD WWTP,"56570 HWY 74, Mountain Center, CA 92561",33.66986,-116.67455,Wastewater Treatment Facility,4952,Riverside,8,WDRMUNILRG,Active,WDR,98-084,8 330139001,,08/28/1998,08/28/1998,,2018-08-25,.1,,B,2,,,,0,0,
Western Municipal Water District,"14205 Meridian Parkway, Riverside, CA 92518",Western Water Recycling Facility,"22751  Nandina Avenue, Riverside, CA 92518",33.867,-117.2647,Wastewater Treatment Facility,4952,Riverside,8,WDRMUNILRG,Active,WDR,R8-2003-0113,8 330700001,,11/21/2003,11/21/2003,,2018-11-21,1.25,,B,2,,,,0,0,
Rancho Caballero,"15181 Van Buren Boulevard, Riverside, CA 92504",Rancho Caballero WWTP,"15181 Van Buren Boulevard, Riverside, CA 92504",33.87918,-117.39396,Wastewater Treatment Facility,6515,Riverside,8,WDRMUNILRG,Active,WDR,98-006,8 331003001,,01/23/1998,01/23/1998,,2008-01-21,.1,,B,2,,,,0,0,
Farm Mutual Water Company,"33383 Mill Pond Drive, Wildomar, CA 92595",Farm MWC WWTP,"33383 Mill Pond Drive, Wildomar, CA 92595",33.63542,-117.22858,Wastewater Treatment Facility,6515,Riverside,8,WDRMUNILRG,Active,WDR,97-079,8 331058001,,12/05/1997,12/05/1997,,2018-12-03,.4,,B,2,,,,0,0,
Pine Springs Ranch,"Po Box 37, Mountain Center, CA 92561",Pine Springs Ranch WWTP,"58000 Apple Canyon Road, Mountain Center, CA 92561",33.70511,-116.65032,Wastewater Treatment Facility,7032,Riverside,8,WDRMUNIOTH,Active,WDR,R8-2000-0075,8 331061001,,10/06/2000,10/06/2000,,2018-10-06,.028,,C,3,,,,0,0,
"Silent Valley Club, Inc.","46305 Poppet Flat Road, Banning, CA 92220",Silent Valley RV Park WWTP,"46305 Poppet Flat Road, Banning, CA 92220",33.857563,-116.844169,Wastewater Treatment Facility,7033,Riverside,8,WDRMUNILRG,Active,WDR,99-041,8 332029001,,03/05/1999,03/05/1999,,2019-03-02,.15,,B,2,,,,0,0,
Elsinore Valley Municipal Water District,"Po Box 3000, Lake Elsinore, CA 92531-3000",EVMWD Railroad Canyon WWRF,"29182 Railroad Canyon Road, Lake Elsinore, CA 92532",33.66713,-117.26453,Wastewater Treatment Facility,4952,Riverside,SB,"SLIC, WDRMUNILRG, WDRMUNIOTH",Active,Co-Permitee,2020-0015-DWQ,8 332122003,,,07/09/2020,,,,,,,,,,0,0,
MHC NAC LP,"2 North Riverside Plaza 800, Chicago, IL 60606",Thousand Trails RV Park - Idyllwild,"24400 Canyon Trail, Idyllwild-Pine Cove, CA 92549",33.76674,-116.73321,Wastewater Treatment Facility,7033,Riverside,8,WDRMUNIOTH,Active,WDR,98-085,8 332125001,,08/28/1998,08/28/1998,,2018-08-25,.028,,B,2,,,,0,0,
Corona City DWP,"755 Public Safety Way, Corona, CA 92878",Corona WWRF #2,"650 Harrison Street, Corona, CA 92879",33.882111942262,-117.556315549706,Wastewater Treatment Facility,4952,Riverside,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 332181001,,,07/09/2020,,,,,,,,,,0,0,
"Adger, Joanne","800 Laguna Road, Fullerton, CA 92835",Creekside MHP WWTP,"21650 Temescal Canyon Road, Corona, CA 92883",33.80612,-117.50295,Wastewater Treatment Facility,6515,Riverside,8,WDRMUNIOTH,Active,WDR,98-031,8 332196001,,04/17/1998,04/17/1998,,2018-04-14,.023,,B,3,,,,0,0,
MHC NAC LP,"2 North Riverside Plaza 800, Chicago, IL 60606",Wilderness Lakes WWTP,"30605 Briggs Road, Menifee, CA 92584",33.67483,-117.13767,Wastewater Treatment Facility,7033,Riverside,8,WDRMUNILRG,Active,WDR,R8-2009-0046,8 332199001,,12/10/2009,12/10/2009,,2024-12-01,.1,,B,2,,,,0,0,
Temescal Valley Water District,"22646 Temescal Canyon Road, Corona, CA 91719",Temescal Valley WD WWRF,"22646 Temescal Canyon Road, Corona, CA 92883",33.79449,-117.49537,Wastewater Treatment Facility,4952,Riverside,SB,"CERFILLEXC, NPDMUNILRG, NPDMUNIOTH, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 332253001,,,07/09/2020,,,,"Major, Minor",,,,,,0,1,
Eastern Municipal Water District,"Po Box 8300, Perris, CA 92572-8300",Temescal Creek Outfall,"Lake Elsinore, CA",33.681111,-117.331667,Wastewater Treatment Facility,4952,Riverside,8,NPDMUNILRG,Active,NPDES Permit,R8-2015-0006,8 332303001,CA8000188,09/18/2015,10/01/2015,,2020-09-30,26,Major,A,1,,,,0,33,
Western Riverside County Regional Wastewater Authority,"14205 Meridian Parkway, Riverside, CA 92518-3045",WRCRWA Regional WWRF,"14634 River Road, Corona, CA 92880",33.93153,-117.60594,Wastewater Treatment Facility,4952,Riverside,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 332353001,,,07/09/2020,,,,Major,,,,,,1,12,
Corona City DWP,"755 Public Safety Way, Corona, CA 92878",Corona WWRF #3,"3997 Temescal Canyon Road, Corona, CA 92883",33.822200826163,-117.507659891703,Wastewater Treatment Facility,4952,Riverside,SB,"CERFILLEXC, NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 332476001,,,07/09/2020,,,,Major,,,,,,0,5,
Eastern Municipal Water District,"Po Box 8300, Perris, CA 92572-8300",Moreno Valley RWRF,"17140 Kitching Street, Moreno Valley, CA 92551",33.87195,-117.21607,Wastewater Treatment Facility,4952,Riverside,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 332783001,,,07/09/2020,,,,,,,,,,0,0,
Eastern Municipal Water District,"Po Box 8300, Perris, CA 92572-8300",Perris Valley RWRF,"1301 Case Road, Perris, CA 92570",33.76375,-117.20571,Wastewater Treatment Facility,4952,Riverside,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 332783001,,,07/09/2020,,,,,,,,,,0,0,
Eastern Municipal Water District,"Po Box 8300, Perris, CA 92572-8300",San Jacinto Valley RWRF,"770 North Sanderson, San Jacinto, CA 92582",33.79804,-117.01189,Wastewater Treatment Facility,4952,Riverside,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 332783001,,,07/09/2020,,,,,,,,,,0,0,
Eastern Municipal Water District,"Po Box 8300, Perris, CA 92572-8300",Sun City RWRF,"29285 Valley Boulevard, Menifee, CA 92584",33.69659,-117.21116,Wastewater Treatment Facility,4952,Riverside,8,WDRMUNILRG,Active,WDR,R8-2008-0008,8 332783001,,09/05/2008,09/05/2008,,2023-09-05,50,,A,2,,,,0,0,
Eastern Municipal Water District,"Po Box 8300, Perris, CA 92572-8300",Temecula Valley RWRF,"42565 Avenida Alvarado, Temecula, CA 92590",33.50722,-117.17148,Wastewater Treatment Facility,4952(+),Riverside,SB,"REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 332783001,,,07/09/2020,,,,,,,,,,0,1,
Colton City,"650 North La Cadena Drive, Colton, CA 92324",Colton WRF,"1201 South Rancho Avenue, Colton, CA 92324",34.050668,-117.333214,Wastewater Treatment Facility,4952,San Bernardino,8,NPDMUNILRG,Active,NPDES Permit,R8-2012-0050,8 360105001,CA0105236,12/14/2012,01/01/2013,,2017-12-31,0,Major,B,1,,,,0,4,
Big Bear Area Regional WW Agency,"Po Box 517, Big Bear City, CA 92314",Big Bear WWRF,"122 Palomino Drive, Big Bear, CA 92314",34.26563,-116.81496,Wastewater Treatment Facility,4952,San Bernardino,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 360108001,,,07/09/2020,,,,Major,,,,,,0,0,
Redlands City,"Po Box 3005, Redlands, CA 92373",Redlands WWRF,"1950 Nevada Street, Redlands, CA 92373",34.08986,-117.2174,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 360111001,,,07/09/2020,,,,,,,,,,0,0,
Rialto City,"325 West Rialto Avenue, Rialto, CA 92376",Rialto WWRF,"501 East Santa Ana Avenue, Bloomington, CA 92316",34.05524,-117.36499,Wastewater Treatment Facility,4952,San Bernardino,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 360112001,,,07/09/2020,,,,Major,,,,,,0,43,
Running Springs Water Dist,"Po Box 2206, Running Springs, CA 92382",Running Springs WWTP,"3400 Sewer Plant Road, Running Springs, CA 92382",34.19462,-117.13738,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 360113001,,,07/09/2020,,,,,,,,,,0,1,
San Bernardino City Municipal Water Dept,"Po Box 710, San Bernardino, CA 92402",Margaret H Chandler WWRF,"399 Chandler Place, San Bernardino, CA 92408",34.077521,-117.291249,Wastewater Treatment Facility,4952,San Bernardino,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 360114003,,,07/09/2020,,,,Major,,,,,,0,4,
CA Institution for Men Chino,"Po Box 128, Chino, CA 91708",CIM WWTP,"14901 Central Avenue, Chino, CA 91710",33.982673,-117.688912,Wastewater Treatment Facility,9223(+),San Bernardino,8,WDRMUNILRG,Active,WDR,95-024,8 360800001,,10/13/1995,10/13/1995,,2018-10-30,1,,B,2,,,,0,0,
West Hills Golf Associates Ltd,"1800 Carbon Canyon Road, Chino, CA 91709",Western Hills WWRF,"1800 Carbon Canyon Road, Chino Hills, CA 91709",33.960677,-117.765009,Wastewater Treatment Facility,4952,San Bernardino,8,WDRMUNIOTH,Active,WDR,99-054,8 361066001,,10/07/1999,10/07/1999,,2018-10-04,.04999,Minor,B,2,,,,1,212,
Forest Home Christian Center,"Po Box 1, Forest Falls, CA 92339",Forest Home CC WWTP,"40000 Valley of the Falls Drive, Forest Falls, CA 92339",34.08871,-116.93144,Wastewater Treatment Facility,4952,San Bernardino,8,WDRMUNIOTH,Active,WDR,86-121,8 361068001,,08/08/1986,08/08/1986,,2018-08-04,.075,,B,3,,,,0,0,
San Bernardino Cnty Special Districts,"Po Box 11969, San Bernardino, CA 92423-1969",Lytle Creek WWTP,"30 Lytle Creek Road, Lytle Creek, CA 92358",34.20179,-117.44881,Wastewater Treatment Facility,4952,San Bernardino,8,WDRMUNILRG,Active,WDR,95-032,8 362200001,,09/01/1995,09/01/1995,,2005-08-29,.16,,B,2,,,,0,0,
Yucaipa Valley Water District,"Po Box 730, Yucaipa, CA 92399-0730",Henry N. Wochholz WWRF,"880 West County Line Road, Calimesa, CA 92320",34.0023,-117.07465,Wastewater Treatment Facility,4952,Riverside,SB,"NPDESWW, NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 362222001,,,07/09/2020,,,,Major,,,,,,0,7,
Cajon Pass POA,"10772 Arrow Route Ste 500, Rancho Cucamonga, CA 91729-0548",Wagon Train Road Package Plant,"3290 Wagon Train Road, Phelan, CA 92371",34.30711,-117.46731,Wastewater Treatment Facility,6512,San Bernardino,8,WDRMUNIOTH,Active,WDR,97-050,8 362370001,,07/18/1997,07/18/1997,,2007-07-16,.014,,C,2,,,,0,0,
Colton/San Bernardino RTT&WRA,"1350 South E Street, San Bernardino, CA 92408","Colton/San Bernadino STP, RIX","1990 Agua Mansa Road, Colton, CA 92324",34.041083,-117.353889,Wastewater Treatment Facility,4952,San Bernardino,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,8 362375001,,,07/09/2020,,,,Major,,,,,,0,3,
San Bernardino Cnty Special Districts,"Po Box 11969, San Bernardino, CA 92423-1969",Lytle Creek North WWTP,"18100 Institution Road, San Bernardino, CA 92407",34.17631,-117.38887,Wastewater Treatment Facility,4952,San Bernardino,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,8 362899001,,,07/09/2020,,,,Major,,,,,,0,0,
Inland Empire Utilities Agency,"Po Box 9020, Chino Hills, CA 91709",IEUA Carbon Canyon WWRF,"14950 Telephone Avenue, Chino, CA 91710",33.981437,-117.694789,Wastewater Treatment Facility,4952,San Bernardino,8,"NPDMUNILRG, SLIC",Active,NPDES Permit,R8-2022-0041,8 362918001,CA8000409,06/03/2022,08/01/2022,,2027-09-30,85.0,Major,A,1,,,,0,10,
Inland Empire Utilities Agency,"Po Box 9020, Chino Hills, CA 91709",IEUA Regional Plant No. 1,"2450 East Philadelphia Street, Ontario, CA 91761",34.027852,-117.600396,Wastewater Treatment Facility,4952,San Bernardino,8,"NPDMUNILRG, SLIC",Active,NPDES Permit,R8-2022-0041,8 362918001,CA8000409,06/03/2022,08/01/2022,,2027-09-30,85.0,Major,A,1,,,,0,9,
Inland Empire Utilities Agency,"Po Box 9020, Chino Hills, CA 91709",IEUA Regional Plant No. 2,"Chino, CA",,,Wastewater Treatment Facility,4952,San Bernardino,8,NPDMUNILRG,Active,NPDES Permit,R8-2022-0041,8 362918001,CA8000409,06/03/2022,08/01/2022,,2027-09-30,85.0,Major,A,1,,,,0,4,
Inland Empire Utilities Agency,"Po Box 9020, Chino Hills, CA 91709",IEUA Regional Plant No. 4,"12811 Sixth Street, Rancho Cucamonga, CA 91739",34.084564,-117.525855,Wastewater Treatment Facility,4952,San Bernardino,8,"NPDMUNILRG, SLIC",Active,NPDES Permit,R8-2022-0041,8 362918001,CA8000409,06/03/2022,08/01/2022,,2027-09-30,85.0,Major,A,1,,,,0,4,
Inland Empire Utilities Agency,"Po Box 9020, Chino Hills, CA 91709",IEUA Regional Plant No. 5,"6068 Kimball Avenue C, Chino, CA 91710",33.965592,-117.673391,Wastewater Treatment Facility,4952,San Bernardino,8,"NPDMUNILRG, SLIC",Active,NPDES Permit,R8-2022-0041,8 362918001,CA8000409,06/03/2022,08/01/2022,,2027-09-30,85.0,Major,A,1,,,,0,19,
East Valley Water District,"31111 Greenspot Road, Highland, CA 92346",Sterling Natural Resource Center WWTF,"25376 5th Street, San Bernardino, CA 92410",34.10854,-117.25055,Wastewater Treatment Facility,4952,San Bernardino,8,WDRMUNILRG,Active,WDR,R8-2023-0009,8 363000001,,12/01/2023,12/01/2023,,2033-12-01,8.0,Major,A,2,,,,0,0,
Encina Wastewater Authority,"6200 Avenida Encinas, Carlsbad, CA 92011",Carlsbad WRF,"6220 Avenida Encinas, Carlsbad, CA 92009",33.114837,-117.319736,Wastewater Treatment Facility,4952,San Diego,9,NPDMUNILRG,Active,NPDES Permit,R9-2018-0059,9 000000030,CA0107395,09/12/2018,11/01/2018,,2023-10-31,48,Major,A,1,,,,1,5,
